dyad,MonthYear,event_count,goldstein_std,goldstein_min,num_mentions_sum,num_articles_sum,num_sources_sum,high_conflict_count,low_conflict_count,quad4_count,high_conflict_pct,low_conflict_pct,quad4_pct
CHN-JPN,202102,1755,4.366999552621996,-10.0,7516,7471,1817,103,599,163.0,0.0586894586894586,0.3413105413105413,0.0928774928774928
CHN-JPN,202103,3778,3.962500938642536,-10.0,14592,14505,4122,138,1312,231.0,0.0365272631021704,0.3472736897829539,0.0611434621492853
CHN-JPN,202104,4138,4.055319375862964,-10.0,18761,18432,4286,106,1772,213.0,0.0256162397293378,0.4282261962300628,0.0514741420976317
CHN-JPN,202105,1765,4.560820534905592,-10.0,7654,7563,1819,106,706,189.0,0.060056657223796,0.4,0.1070821529745042
CHN-JPN,202106,1924,4.451634112440064,-10.0,8007,7926,1995,84,813,164.0,0.0436590436590436,0.4225571725571725,0.0852390852390852
CHN-JPN,202107,2102,4.343277388384315,-10.0,8945,8822,2227,95,895,217.0,0.0451950523311132,0.4257849666983825,0.1032350142721217
CHN-JPN,202108,1474,4.68383209841268,-10.0,5907,5848,1518,106,508,153.0,0.0719131614654002,0.344640434192673,0.1037991858887381
CHN-JPN,202109,2293,4.512812030846495,-10.0,9483,9426,2426,127,734,224.0,0.0553859572612298,0.3201046663759267,0.0976886175316179
CHN-JPN,202110,2137,4.580747015838352,-10.0,9464,9360,2237,112,741,252.0,0.0524099204492278,0.346747777257838,0.1179223210107627
CHN-JPN,202111,1955,4.446906354250579,-10.0,8195,8164,2064,90,592,179.0,0.0460358056265984,0.3028132992327366,0.0915601023017902
CHN-JPN,202112,2400,4.417398206252463,-10.0,10287,10162,2540,129,843,207.0,0.05375,0.35125,0.08625
CHN-JPN,202201,1749,4.696551284024039,-10.0,7538,7522,1789,101,571,153.0,0.0577472841623785,0.3264722698684962,0.0874785591766723
CHN-JPN,202202,1386,4.7649123697815,-10.0,6266,6144,1430,85,519,186.0,0.0613275613275613,0.3744588744588744,0.1341991341991342
CHN-JPN,202203,1458,4.3509168181185895,-10.0,6234,6124,1569,86,463,147.0,0.0589849108367626,0.3175582990397805,0.1008230452674897
CHN-JPN,202204,1797,4.599615301617025,-10.0,7456,7303,1928,172,605,207.0,0.0957150806900389,0.3366722314969393,0.1151919866444073
CHN-JPN,202205,3068,4.325774951415263,-10.0,12998,12870,3223,183,1092,292.0,0.0596479791395045,0.3559322033898305,0.0951760104302477
CHN-JPN,202206,1784,4.287061152157063,-10.0,7566,7509,1881,77,669,149.0,0.0431614349775784,0.375,0.0835201793721973
CHN-JPN,202207,2803,4.407928719333728,-10.0,11961,11898,2942,186,972,280.0,0.0663574741348555,0.3467713164466643,0.0998929718159115
CHN-JPN,202208,4269,5.098322837665113,-10.0,20676,20394,4817,632,1738,896.0,0.1480440384164909,0.4071211056453502,0.2098852190208479
CHN-JPN,202209,2909,4.431797849895871,-10.0,12241,11943,3009,186,910,337.0,0.0639394981093159,0.3128222756961155,0.1158473702303197
CHN-JPN,202210,1648,4.514634144060744,-10.0,7444,7203,1688,95,546,166.0,0.0576456310679611,0.3313106796116505,0.1007281553398058
CHN-JPN,202211,2446,4.086346540079761,-10.0,11260,10950,2516,124,602,180.0,0.0506950122649223,0.2461161079313164,0.0735895339329517
CHN-JPN,202212,2851,4.5084408011440384,-10.0,12988,12775,3006,204,1080,361.0,0.0715538407576289,0.3788144510698,0.1266222378112942
